Reference, Value, Footprint, Datasheet, MFR, MPN, SPN, SPR, SPURL, Holder DataSheet, Connector
"C102","15uF PP 250VDC 3.9mOhm","Capacitors_ThroughHole_jl:C_Axial_44mm_24.5mm_P50mm","https://content.kemet.com/datasheets/KEM_F3040_C4G_AXIAL.pdf","KEMET","C4GADUD5150AA1J","399-13088-ND","digikey","-","",""
"C101","220uF ALUM 200V 905 mOhm 20%","Capacitors_ThroughHole:CP_Radial_D22.0mm_P10.00mm_SnapIn","https://www.cde.com/resources/catalogs/SLP.pdf","Cornell Dubilier Electronics (CDE)","SLP221M200A1P3","338-1478-ND","digikey","-","",""
"C103","470uF ALUM 400V 130mOhm 20%","Capacitors_ThroughHole:CP_Radial_D35.0mm_P10.00mm_SnapIn","https://api.kemet.com/component-edge/download/specsheet/ELH477M400AT4AA.pdf","KEMET","ELH477M400AT4AA","399-6073-ND","digikey","-","",""
"D101","8A 200V 0.950V","Diodes_ThroughHole_jl:Diode_TO_220AC_Horizonal","https://media.digikey.com/pdf/Data%20Sheets/Vishay%20Semiconductors/FES(F,B)8AT_thru_8JT.pdf","Vishay Semiconductor Diodes Division","FES8DT-E3/45","FES8DT-E3/45GI-ND","digikey","-","",""
"L101","47uH 31A Sat 6.38m Ohm","Inductors_jl:Inductor_Wurth_7443763540470","https://www.we-online.com/redexpert/#/module/7324/selecteditems/7443763540470/productdata/=7443763540470/re/digikey","Wurth Elektronik","7443763540470","732-13644-ND","digikey","-","",""
"L102","47uH 31A Sat 6.38m Ohm","Inductors_jl:Inductor_Wurth_7443763540470","https://www.we-online.com/redexpert/#/module/7324/selecteditems/7443763540470/productdata/=7443763540470/re/digikey","Wurth Elektronik","7443763540470","732-13644-ND","digikey","-","",""
"Q101","IXFP36N20X3","Transistors_ThroughHole_jl:TO-220","http://ixapps.ixys.com/DataSheet/DS100846D(IXFY_-FA-FP36N20X3).pdf","IXYS","IXFP36N20X3","IXFP36N20X3-ND","digikey","-","",""
"R101","0R Ohms","Resistors_SMD:R_0805_HandSoldering","https://www.seielect.com/catalog/sei-packaging.pdf","Stackpole Electronics Inc","RMCF0805ZT0R00","RMCF0805ZT0R00CT-ND","digikey","-","",""
"J101","Battery Connection","digikey-footprints:Term_Block_1x4_P5mm","https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1935792","Phoenix Contact","1935792","277-14426-ND","digikey","-","",""
"F101","Fuse Holder","Connect_jl:BellFuse_6.3mmX32mm_FC_102-22","https://us.schurter.com/en/datasheet/typ_SUT-H_6.3x32.pdf","Bel Fuse Inc.","FC-102-22","507-1702-ND","digikey","-","https://belfuse.com/resources/datasheets/circuitprotection/ds-cp-0672-fuse-clips-series.pdf",""
